Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Canada,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",28643015,13990430,14652585
Canada,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",5239580,2667995,2571580
Canada,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,7576400,3686635,3889765
Canada,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",15827040,7635805,8191230
Canada,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,2800265,1906610,893650
Canada,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",5553825,2326940,3226890
Canada,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,813335,331940,481395
Canada,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",6659615,3070315,3589300
Canada,  Education,"Total - Highest certificate, diploma or degree",1060095,251290,808805
Canada,  Education,"  No certificate, diploma or degree",0,0,0
Canada,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
Canada,  Education,"  Postsecondary certificate, diploma or degree",1060095,251290,808805
Canada,  Education,    Apprenticeship or trades certificate or diploma,11660,2990,8665
Canada,  Education,"    College, CEGEP or other non-university certificate or diploma",157975,19630,138350
Canada,  Education,    University certificate or diploma below bachelor level,86935,16295,70640
Canada,  Education,"    University certificate, diploma or degree at bachelor level or above",803525,212375,591150
Canada,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",596230,268050,328180
Canada,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Canada,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Canada,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",596230,268050,328180
Canada,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,56660,35710,20950
Canada,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",293460,141220,152240
Canada,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,34180,13340,20840
Canada,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",211930,77785,134145
